vendorId,companyName,primaryContactName,primaryContactEmail,phoneNumber,address,category,engagementStatus,registrationDate,lastInteractionDate,contractEndDate,performanceRating,_class
VEN-001,Olam Agri,Priya Sharma,p.sharma@olamagri.com,+65 6718 1111,"7 Straits View, Marina One East Tower, Singapore 018936","Raw Materials (Wheat, Palm Oil)",Active,2015-03-12T00:00:00Z,2024-05-15T00:00:00Z,2026-12-31T00:00:00Z,4.8,com.tolaram.vendor.model.Vendor
VEN-002,Maersk Nigeria Ltd.,Adewale Adebayo,adewale.adebayo@maersk.com,+234 1 460 9800,"1-3, Moloney Street, Lagos Island, Lagos, Nigeria",Logistics & Shipping,Active,2012-08-20T00:00:00Z,2024-04-30T00:00:00Z,2025-08-19T00:00:00Z,4.5,com.tolaram.vendor.model.Vendor
VEN-003,Amcor Flexibles,David Chen,david.chen@amcor.com,+65 6595 1888,"3 International Business Park, #04-25, Singapore 609927",Packaging Solutions,Active,2018-01-15T00:00:00Z,2024-05-10T00:00:00Z,2027-01-14T00:00:00Z,4.9,com.tolaram.vendor.model.Vendor
VEN-004,Siemens Nigeria,Ngozi Okoro,ngozi.okoro@siemens.com,+234 803 123 4567,"382, Ikorodu Road, Opposite Mobil Filling Station, Lagos, Nigeria",Industrial Machinery & Automation,Active,2019-11-05T00:00:00Z,2024-03-22T00:00:00Z,2028-11-04T00:00:00Z,4.6,com.tolaram.vendor.model.Vendor
VEN-005,Amazon Web Services (AWS),John Miller,j.miller@aws.amazon.com,+1 206 266 1000,"410 Terry Ave N, Seattle, WA 98109, USA",IT & Cloud Infrastructure,Active,2020-07-01T00:00:00Z,2024-05-20T00:00:00Z,2025-06-30T00:00:00Z,5,com.tolaram.vendor.model.Vendor
VEN-006,PwC Nigeria,Fatima Bello,fatima.bello@pwc.com,+234 1 271 1700,"Landmark Towers, 5B Water Corporation Road, Victoria Island, Lagos",Audit & Professional Services,Active,2010-06-01T00:00:00Z,2024-04-18T00:00:00Z,2025-05-31T00:00:00Z,4.7,com.tolaram.vendor.model.Vendor
VEN-007,Ogilvy Africa,Michael Kimani,michael.kimani@ogilvy.co.ke,+254 20 280 5000,"The Chancery, Valley Road, Nairobi, Kenya",Marketing & Advertising,Under Review,2023-09-01T00:00:00Z,2024-05-02T00:00:00Z,,,com.tolaram.vendor.model.Vendor
VEN-008,Java Integrated Systems,Budi Hartono,budi.h@javais.co.id,+62 21 5793 0888,"Menara BCA, 50th Floor, Jl. M.H. Thamrin No. 1, Jakarta, Indonesia",Fintech Software Development,Onboarding,2024-02-20T00:00:00Z,2024-05-18T00:00:00Z,,,com.tolaram.vendor.model.Vendor
VEN-009,Estonia Logistics OU,Jaan Tamm,jaan.tamm@estlog.ee,+372 602 5555,"Suur-Sõjamäe 14, 11415 Tallinn, Estonia",European Distribution,Inactive,2017-04-11T00:00:00Z,2022-10-05T00:00:00Z,2022-12-31T00:00:00Z,3.5,com.tolaram.vendor.model.Vendor
VEN-010,CrowdStrike APAC,Lim Wei,w.lim@crowdstrike.com.sg,+65 6813 2200,"18 Robinson Road, #12-01, Singapore 048547",Cybersecurity Services,Active,2022-01-10T00:00:00Z,2024-05-21T00:00:00Z,2026-01-09T00:00:00Z,4.9,com.tolaram.vendor.model.Vendor
VEN-011,Workday Singapore,Sarah Tan,sarah.tan@workday.com,+65 6670 6800,"9 Straits View, Marina One West Tower, #08-08, Singapore 018937",HR & Payroll Systems,Active,2021-05-18T00:00:00Z,2024-04-25T00:00:00Z,2027-05-17T00:00:00Z,4.7,com.tolaram.vendor.model.Vendor
VEN-012,Julius Berger Nigeria PLC,Chinedu Eze,c.eze@julius-berger.com,+234 803 901 1111,"10 Shettima A. Munguno Crescent, Utako, Abuja, Nigeria",Construction & Civil Engineering,Project-Based,2016-02-29T00:00:00Z,2024-02-15T00:00:00Z,2025-12-31T00:00:00Z,4.4,com.tolaram.vendor.model.Vendor
VEN-013,Givaudan Singapore,Isabelle Dubois,isabelle.dubois@givaudan.com,+65 6751 9200,"750A Chai Chee Road, #08-01 ESR BizPark, Singapore 469001",Food Ingredients & Flavoring,Active,2013-10-01T00:00:00Z,2024-05-14T00:00:00Z,2026-09-30T00:00:00Z,4.9,com.tolaram.vendor.model.Vendor
VEN-014,NielsenIQ Indonesia,Dewi Lestari,dewi.lestari@nielseniq.com,+62 21 2939 8100,"Mayapada Tower 1, 19th Floor, Jl. Jend. Sudirman Kav. 28, Jakarta, Indonesia",Market Research & Consumer Insights,Active,2011-04-04T00:00:00Z,2024-03-05T00:00:00Z,2025-04-03T00:00:00Z,4.6,com.tolaram.vendor.model.Vendor
VEN-015,Baker McKenzie,James Harrington,james.harrington@bakermckenzie.com,+65 6338 1888,"80 Raffles Place, #24-01 UOB Plaza 1, Singapore 048624",Corporate Legal Services,Active,2008-11-10T00:00:00Z,2024-05-09T00:00:00Z,2026-11-09T00:00:00Z,5,com.tolaram.vendor.model.Vendor
VEN-016,TotalEnergies Nigeria,Femi Adekunle,femi.adekunle@totalenergies.com,+234 1 262 1730,"4, Churchgate Street, Victoria Island, Lagos, Nigeria",Energy & Fuel Supply,Active,2014-07-21T00:00:00Z,2024-04-28T00:00:00Z,2025-07-20T00:00:00Z,4.3,com.tolaram.vendor.model.Vendor
VEN-017,Accenture Analytics,Ravi Kumar,ravi.kumar@accenture.com,+65 6410 8000,"250 North Bridge Road, #33-00 Raffles City Tower, Singapore 179101",Data Analytics & BI Solutions,Project-Based,2023-01-30T00:00:00Z,2024-05-17T00:00:00Z,2024-12-31T00:00:00Z,4.5,com.tolaram.vendor.model.Vendor
VEN-018,Flutterwave,Temi Otedola,temi.o@flutterwavego.com,+234 1 279 3217,"8, Providence Street, Lekki Phase 1, Lagos, Nigeria",Payment Gateway Services,Active,2022-08-15T00:00:00Z,2024-05-13T00:00:00Z,2025-08-14T00:00:00Z,4.8,com.tolaram.vendor.model.Vendor
VEN-019,American Express Global Business Travel,Emily Carter,emily.carter@amexgbt.com,+65 6433 0000,"1, Marina Boulevard, #22-01, One Marina Boulevard, Singapore 018989",Corporate Travel Management,Active,2016-09-01T00:00:00Z,2024-04-11T00:00:00Z,2025-08-31T00:00:00Z,4.6,com.tolaram.vendor.model.Vendor
VEN-020,CBRE Group,Aisha Binte Hamid,aisha.hamid@cbre.com.sg,+65 6224 8181,"6 Battery Road, #32-01, Singapore 049909",Facilities Management,Inactive,2018-03-01T00:00:00Z,2023-01-20T00:00:00Z,2023-02-28T00:00:00Z,3.9,com.tolaram.vendor.model.Vendor
