vendor_id,vendor_name,category,contact_person,email,phone_number,address,status,bucket,date_added,last_interaction_date,performance_rating
VEN-1001,PackRight Solutions,Packaging,Daniel Carpenter,ericawhitehead@example.org,+1-765-867-8626x3151,"3739 Hernandez Mall, South Christopherville, NJ 01898",Onboarding,Key Supplier,2023-03-18,2023-04-09,4.4
VEN-1002,PackRight Solutions,Packaging,Valerie Cherry,jeffrey25@example.org,237-471-3356x554,"059 Rodgers View, South Kelly, CO 37222",Inactive,Transactional,2023-11-26,2024-01-22,4.5
VEN-1003,Swift Haulage,Logistics & Distribution,Mariah Simon DDS,jeffreymason@example.net,562-526-7939,"9961 Richard Court, East Charles, WV 51835",Onboarding,Niche Supplier,2024-03-12,2025-05-27,3.9
VEN-1004,Global Agri-Products,Raw Materials,Kristen Walker DDS,mcdanielpaige@example.com,(528)431-8670,"747 Michele Corner Suite 852, North Robinmouth, MS 56317",Potential,Key Supplier,2024-07-30,2025-06-14,3.6
VEN-1005,DataFlow Analytics,IT & Software,Paige Green,timothy02@example.org,(772)364-2898,"763 Patrick Curve Suite 841, East Joshuaton, ND 52729",Active,Strategic Partner,2024-11-15,2025-01-30,4.6
VEN-1006,Farm Fresh Organics,Raw Materials,Jennifer Lane,hwhite@example.net,001-643-859-2050x846,"09270 Wyatt Fords Suite 552, New Alexander, IL 15098",Active,Transactional,2023-12-06,2025-05-17,2.9
VEN-1007,Eco Plastics Inc.,Packaging,Nina Phillips,collinsmatthew@example.net,(228)262-9049x406,"7890 Baker Village, Guerreroburgh, KS 49776",Active,Strategic Partner,2025-05-22,2025-09-02,2.7
VEN-1008,Industrial Mixers Ltd.,Manufacturing Equipment,Ryan Stewart,kellyanderson@example.org,+1-832-830-4451x69162,"0866 Hanson Common, Jenniferland, MH 75399",Inactive,Strategic Partner,2025-04-08,2025-09-13,3.6
VEN-1009,Nationwide Freight,Logistics & Distribution,Bianca Huynh,westes@example.com,+1-680-622-8100,"2809 Philip Landing Suite 260, Hillburgh, WY 60263",Active,Key Supplier,2023-04-25,2024-04-29,4.9
VEN-1010,Eco Plastics Inc.,Packaging,Emily Hunt,michaelphelps@example.net,001-430-671-3499,"6144 Daniel Lock, East David, MO 57426",Potential,Key Supplier,2025-09-12,2025-09-26,4.9
VEN-1011,ERP Innovators,IT & Software,Barbara Shelton,kcole@example.net,604-577-2576x59512,"02387 Anderson Branch, Lake Anaberg, UT 92979",Potential,Strategic Partner,2024-04-23,2024-11-22,3.1
VEN-1012,Brand Builders Co.,Marketing & Advertising,Jennifer Williams,jacquelinepearson@example.org,735.720.4254x21542,"921 Cruz Station, Masseytown, AL 32624",Active,Key Supplier,2025-09-05,2025-09-08,4.7
VEN-1013,Industrial Mixers Ltd.,Manufacturing Equipment,Autumn Miles,rbrady@example.net,+1-846-280-3274x05746,"587 Rebecca Greens Suite 217, Drewbury, TN 81731",Under Review,Niche Supplier,2024-08-21,2024-12-30,2.9
VEN-1014,SecureNet IT Solutions,IT & Software,Lisa Lewis,jean31@example.org,559.746.5333x1096,"408 Roberto Brooks, Port Jeremyland, MO 88749",Potential,Transactional,2025-08-28,2025-10-01,4.1
VEN-1015,Global Agri-Products,Raw Materials,Andrea Johnson,moralesangela@example.com,386-280-9795,"1013 Rachel Spurs Suite 716, Lake Frank, KY 39183",Potential,Strategic Partner,2023-07-08,2025-05-20,2.8
VEN-1016,ColdChain Logistics,Logistics & Distribution,Stephanie Garcia,debbie58@example.com,999-860-0914,"284 Phillips Ranch Suite 585, Katherineland, VT 10924",Active,Strategic Partner,2022-11-07,2025-02-06,3.7
VEN-1017,Creative Edge Agency,Marketing & Advertising,Maria Williams,patelcaitlyn@example.net,911-307-9216,"PSC 3259, Box 8870, APO AE 48769",Under Review,Niche Supplier,2022-11-03,2025-02-26,2.9
VEN-1018,GlassWorks Containers,Packaging,Samantha Payne,sperkins@example.org,+1-468-944-8495x5638,"98376 David Spring Suite 054, East Lisa, CA 97377",Active,Transactional,2023-09-13,2024-01-22,2.6
VEN-1019,ProPack Machinery,Manufacturing Equipment,Julie Lee,bwhite@example.net,001-322-756-4158x1945,"444 Adrian Roads, Port Rodney, VI 29297",Inactive,Strategic Partner,2023-11-14,2024-02-15,3.0
VEN-1020,Digital Reach Marketing,Marketing & Advertising,Emily Hayes,xbarry@example.com,+1-686-710-8931,"5576 Vincent Locks, South Elizabeth, KY 96442",Inactive,Transactional,2023-05-28,2024-04-08,3.6
VEN-1021,Eco Plastics Inc.,Packaging,Christopher Phillips,michaelbrown@example.net,624.999.7056,"PSC 1879, Box 4881, APO AP 52233",Potential,Strategic Partner,2024-03-03,2024-04-09,3.8
VEN-1022,Industrial Mixers Ltd.,Manufacturing Equipment,Michael Foster,ngoodman@example.net,+1-946-415-1943x865,"409 Mcintosh Ranch, East William, NY 55821",Onboarding,Niche Supplier,2024-01-22,2025-08-17,2.8
VEN-1023,Line Automation Systems,Manufacturing Equipment,Patrick Griffin,jamiejensen@example.net,001-970-376-0923x667,"35208 Brian Prairie Apt. 258, Port Matthewchester, WY 85191",Onboarding,Transactional,2022-12-16,2023-07-30,3.4
VEN-1024,Global Agri-Products,Raw Materials,Amy Sullivan,millerkristen@example.net,+1-600-844-7735x2431,"095 Michael Cape Apt. 460, Jacksonview, WY 32336",Onboarding,Transactional,2024-09-15,2024-10-16,2.7
VEN-1025,GlassWorks Containers,Packaging,Shannon Williams,mendezphyllis@example.com,+1-744-995-7345,"724 Daniel Highway Apt. 811, South Jacksonstad, CA 53775",Inactive,Strategic Partner,2023-03-19,2023-11-06,4.2
VEN-1026,Global Agri-Products,Raw Materials,Joseph Bailey,langcharles@example.org,312-852-3218,"12955 Jeffrey Vista, Garyshire, GU 08468",Potential,Key Supplier,2024-04-26,2024-07-08,3.5
VEN-1027,ERP Innovators,IT & Software,Ms. Dawn Wong MD,asmith@example.net,+1-934-238-3909x7406,"99699 Petersen Club Suite 750, Port Markside, NM 86139",Inactive,Key Supplier,2025-06-06,2025-07-28,3.4
VEN-1028,Sugar & Spice Corp,Raw Materials,John Richardson,crystalhill@example.org,(320)237-1750,"859 Warren Trail, Lake Samanthafurt, IN 96577",Potential,Transactional,2024-06-27,2024-11-29,2.8
VEN-1029,ProPack Machinery,Manufacturing Equipment,Michael Smith,dawn99@example.com,(260)558-4565,"989 Graham Dam Apt. 477, North Nicolemouth, FM 95143",Under Review,Strategic Partner,2023-05-27,2025-01-11,3.9
VEN-1030,Digital Reach Marketing,Marketing & Advertising,Latoya Sims,christophermiller@example.org,(734)673-9740x2784,"054 Michael Track, Sarahhaven, OR 42016",Onboarding,Niche Supplier,2025-09-04,2025-10-11,3.8
VEN-1031,Farm Fresh Organics,Raw Materials,Jonathon Brock,dawn02@example.org,+1-684-250-9951,"756 Howell Drives, Jamesshire, VT 20285",Under Review,Strategic Partner,2023-07-26,2024-09-08,2.9
VEN-1032,ColdChain Logistics,Logistics & Distribution,Michael Cruz,perryjustin@example.net,561.314.0275,"123 Christine Village Apt. 851, New Craig, IL 50482",Active,Strategic Partner,2023-06-09,2023-07-05,4.7
VEN-1033,PackRight Solutions,Packaging,Jason Murphy,moorechristina@example.org,+1-991-782-4404x656,"40385 Billy Key Suite 196, Bryanchester, LA 15517",Inactive,Transactional,2023-03-21,2024-02-15,4.4
VEN-1034,Creative Edge Agency,Marketing & Advertising,Stephanie Hughes,joshuajones@example.com,(826)715-3064x80859,"8684 Ward Centers Apt. 164, Lake Scott, CO 89985",Active,Niche Supplier,2024-05-19,2024-11-02,4.5
VEN-1035,Brand Builders Co.,Marketing & Advertising,Mrs. Rachel Sosa,anna84@example.org,+1-818-287-9620,"6621 Dixon Parkways, Nicholasside, MT 67696",Potential,Strategic Partner,2023-08-02,2025-08-30,4.9
VEN-1036,Digital Reach Marketing,Marketing & Advertising,Heather Cruz,zpalmer@example.org,764-486-8317x8411,"89826 Ortega Cove, North Kevin, GA 42843",Under Review,Strategic Partner,2023-03-18,2024-08-06,5.0
VEN-1037,ColdChain Logistics,Logistics & Distribution,Ryan Johnson,michael83@example.org,+1-710-319-8215x0929,"042 Baker Causeway Apt. 951, Parkerberg, UT 25932",Under Review,Transactional,2024-04-02,2025-01-05,4.2
VEN-1038,Sugar & Spice Corp,Raw Materials,Robert Moore,schaeferbrian@example.org,(568)412-1789x534,"3650 Jason Creek Suite 561, Franciscoborough, IA 02556",Inactive,Transactional,2024-01-27,2025-06-28,3.6
VEN-1039,Nationwide Freight,Logistics & Distribution,Gary Pacheco,dawnholmes@example.org,540.590.7183,"USNS Navarro, FPO AE 61853",Potential,Key Supplier,2023-01-16,2025-06-26,2.6
VEN-1040,PackRight Solutions,Packaging,Alicia Johnson,erichenderson@example.com,(386)941-8747,"937 Melissa Island, Weaverfurt, HI 76447",Active,Niche Supplier,2023-08-16,2024-04-21,4.1
VEN-1041,Digital Reach Marketing,Marketing & Advertising,Steven Smith,leonard74@example.net,(370)347-5958x976,"6576 Green Oval, East Monique, DE 20408",Under Review,Niche Supplier,2023-08-10,2024-04-01,4.6
VEN-1042,Sugar & Spice Corp,Raw Materials,Todd Martin,jasonmunoz@example.org,001-717-479-0675,"589 Paul Branch, West Jennifer, PW 90637",Active,Transactional,2024-03-15,2025-07-30,4.5
VEN-1043,Farm Fresh Organics,Raw Materials,James Duran,johnsonjoshua@example.com,(308)645-7262,"69396 Guerrero Divide, Georgemouth, GA 93838",Potential,Transactional,2024-11-11,2025-06-26,4.8
VEN-1044,SecureNet IT Solutions,IT & Software,Roger Thomas,ijackson@example.com,(227)785-6262,"Unit 5185 Box 1075, DPO AA 32178",Inactive,Key Supplier,2023-11-13,2025-03-04,3.4
VEN-1045,Farm Fresh Organics,Raw Materials,William Brown,kenneth11@example.com,589.619.4525x99154,"77252 Chelsea Row, New Misty, FM 01400",Inactive,Strategic Partner,2024-12-01,2025-02-18,3.8
VEN-1046,Sugar & Spice Corp,Raw Materials,Vernon Murray,michaelwilliams@example.net,+1-400-352-9088x7733,"3697 Stephanie Fields, Hensleymouth, FL 74892",Active,Key Supplier,2024-05-17,2024-06-15,4.2
VEN-1047,Sugar & Spice Corp,Raw Materials,Sara Bryant,hroberts@example.net,+1-358-397-7706,"7980 John Rapids Apt. 623, South David, MN 08687",Active,Key Supplier,2023-09-25,2025-07-01,4.0
VEN-1048,SecureNet IT Solutions,IT & Software,Kim Koch,kara82@example.org,992.996.6105x7647,"787 Parker Viaduct Suite 882, Rebeccahaven, DE 85142",Onboarding,Niche Supplier,2024-10-01,2025-05-07,4.7
VEN-1049,DataFlow Analytics,IT & Software,Christopher Thomas,tcannon@example.org,358-963-2940,"933 Jay Union, Pricetown, MP 06027",Onboarding,Strategic Partner,2025-03-09,2025-05-19,3.7
VEN-1050,ProPack Machinery,Manufacturing Equipment,John Kelly,masseykrystal@example.net,794.525.0779,"033 Alvarez Plaza Apt. 161, Port Meredithport, AK 47117",Active,Key Supplier,2025-03-28,2025-04-01,4.7
